,r_i_docking_score,ZINC_ID,smile,passes,logP,molWt,TPSA,HBD
564,-6.6,ZINC000823981311,C[C@@H]1CN(CCN1c2ccc3cc(ccc3n2)c4n[n-]nn4)C(=O)C,True,1.1,336.38,89.21,0
629,-6.7,ZINC000826399213,c1ccc2c(c1)C[C@H](O2)C(=O)N3CCc4c3cc(cc4)c5n[n-]nn5,True,1.39,332.34,82.31,0
630,-6.8,ZINC000826399541,c1cc2c(cc1c3n[n-]nn3)N(CC2)C(=O)[C@@H]4Cc5cc(ccc5O4)F,True,1.53,350.33,82.31,0
737,-6.6,ZINC000826524451,c1ccc2c(c1)ncc(n2)N3CCc4c3cc(cc4)c5n[n-]nn5,True,2.13,314.33,81.79,0
1192,-6.6,ZINC001578526751,CCc1ccc2c(c1)CCN(C2)C(=O)c3cccc(c3)c4n[n-]nn4,True,2.26,332.39,73.08,0
1248,-6.6,ZINC001581215417,Cc1ccc2c(c1)CN(CC2)C(=O)c3cc(ccc3C)c4n[n-]nn4,True,2.31,332.39,73.08,0
1278,-6.9,ZINC001581951699,c1ccc2c(c1)C[C@H](O2)C(=O)N3CCc4c3ccc(c4)c5n[n-]nn5,True,1.39,332.34,82.31,0
1284,-7.0,ZINC001582137030,c1ccc2c(c1)cc(o2)CC(=O)N3CCc4c3ccc(c4)c5n[n-]nn5,True,2.37,344.35,86.22,0
1319,-6.7,ZINC001582690013,c1cc2cc(oc2c(c1)F)C(=O)N3Cc4cccc(c4C3)c5n[n-]nn5,True,2.54,348.32,86.22,0
1323,-6.7,ZINC001582705944,c1cc2c(c(c1)c3n[n-]nn3)CN(C2)C(=O)c4ccc5cccnc5c4,True,2.2,341.35,85.97,0
1324,-6.6,ZINC001582706050,c1cc2ccc(cc2nc1)C(=O)N3CCc4c3ccc(c4)c5n[n-]nn5,True,2.25,341.35,85.97,0
1331,-6.9,ZINC001582732807,c1ccc2c(c1)cc(cn2)C(=O)N3Cc4ccc(cc4C3)c5n[n-]nn5,True,2.2,341.35,85.97,0
