r_i_docking_score,ZINC_ID
-7.0,ZINC000000262163
-7.1,ZINC000000317189
-7.3,ZINC000000755099
-7.2,ZINC000000755100
-6.7,ZINC000001063118
-7.0,ZINC000001124838
-7.2,ZINC000001209779
-7.1,ZINC000002960415
-7.3,ZINC000003662023
-6.2,ZINC000004041115
-6.7,ZINC000004081274
-6.6,ZINC000004141318
-6.7,ZINC000004772233
-7.0,ZINC000005046859
-6.9,ZINC000005614119
-6.9,ZINC000006757823
-7.5,ZINC000006822506
-7.0,ZINC000007699911
-7.2,ZINC000007699967
-7.1,ZINC000008725254
-7.4,ZINC000009659973
-7.2,ZINC000009659975
-7.4,ZINC000010056677
-7.7,ZINC000010321766
-7.1,ZINC000010321936
-7.5,ZINC000010325328
-6.9,ZINC000011765793
-7.4,ZINC000015602048
-7.2,ZINC000015626313
-7.2,ZINC000015626317
-7.8,ZINC000015760643
-7.0,ZINC000017072473
-6.7,ZINC000019603819
-6.9,ZINC000022643608
-7.3,ZINC000023746230
-7.3,ZINC000028243993
-7.0,ZINC000029857188
-7.0,ZINC000030894427
-7.1,ZINC000032001699
-6.9,ZINC000036714111
-7.0,ZINC000039537423
-6.7,ZINC000040817981
-7.3,ZINC000043048651
-7.3,ZINC000043048696
-7.2,ZINC000043048985
-6.7,ZINC000043507911
-7.0,ZINC000044697054
-6.9,ZINC000044897521
-6.0,ZINC000045188547
-7.2,ZINC000046409160
-7.3,ZINC000047343210
-7.3,ZINC000053721859
-6.8,ZINC000053963944
-7.1,ZINC000054631665
-6.8,ZINC000054675358
-6.8,ZINC000056406397
-7.2,ZINC000057499244
-6.5,ZINC000057771896
-7.6,ZINC000058175597
-7.1,ZINC000058747970
-6.9,ZINC000060481683
-7.0,ZINC000060788360
-6.9,ZINC000064390185
-7.0,ZINC000064656329
-7.3,ZINC000068781345
-6.9,ZINC000069623577
-6.5,ZINC000070008949
-7.2,ZINC000070641227
-7.1,ZINC000071883559
-7.4,ZINC000072878082
-6.8,ZINC000078729669
-6.4,ZINC000078734852
-7.2,ZINC000079045801
-6.9,ZINC000079435666
-7.2,ZINC000096097859
-6.9,ZINC000096136859
-6.7,ZINC000101843498
-7.0,ZINC000105701193
-7.6,ZINC000105715834
-7.0,ZINC000105805963
-7.3,ZINC000106314354
-7.6,ZINC000106314467
-6.4,ZINC000107166030
-6.8,ZINC000108686736
-7.4,ZINC000108785649
-6.6,ZINC000119561427
-7.0,ZINC000120954347
-6.8,ZINC000120954643
-7.1,ZINC000121045046
-6.1,ZINC000121270309
-6.5,ZINC000121365020
-6.5,ZINC000121365346
-6.8,ZINC000123101630
-6.8,ZINC000123194035
-6.7,ZINC000123939779
-7.0,ZINC000124235750
-7.2,ZINC000124392254
-7.5,ZINC000124564726
-6.8,ZINC000124565280
-6.5,ZINC000124796988
-6.3,ZINC000124797438
-7.0,ZINC000124797728
-7.2,ZINC000125559666
-6.3,ZINC000125560082
-7.0,ZINC000126197821
-6.8,ZINC000126198313
-7.2,ZINC000126857989
-6.7,ZINC000127348635
-6.5,ZINC000127971202
-6.8,ZINC000128752904
-6.6,ZINC000128863173
-6.8,ZINC000128863350
-6.7,ZINC000128863564
-6.5,ZINC000128975659
-7.3,ZINC000129030820
-7.1,ZINC000129053854
-7.0,ZINC000131935676
-6.9,ZINC000132013887
-6.0,ZINC000132395174
-6.6,ZINC000132462270
-6.6,ZINC000132884281
-7.1,ZINC000139781752
-6.1,ZINC000151585743
-7.8,ZINC000151804404
-6.8,ZINC000152292305
-6.7,ZINC000152364532
-6.8,ZINC000152503429
-6.9,ZINC000152520427
-6.9,ZINC000152520606
-6.8,ZINC000152603844
-6.5,ZINC000152662735
-6.5,ZINC000152689079
-6.8,ZINC000153059634
-6.7,ZINC000153059726
-6.8,ZINC000153107043
-6.4,ZINC000155033433
-6.9,ZINC000155501128
-6.4,ZINC000155501343
-6.9,ZINC000156739799
-6.8,ZINC000158417821
-7.3,ZINC000162695862
-7.0,ZINC000171554284
-6.9,ZINC000177556319
-6.3,ZINC000177556348
-6.9,ZINC000178113478
-6.0,ZINC000178113499
-6.4,ZINC000178393701
-6.4,ZINC000178659271
-6.1,ZINC000178659300
-7.0,ZINC000179273975
-7.0,ZINC000179273992
-7.1,ZINC000183872398
-7.7,ZINC000184390323
-7.1,ZINC000184812108
-6.4,ZINC000184944678
-7.0,ZINC000190523814
-6.9,ZINC000194260603
-6.7,ZINC000194260617
-6.8,ZINC000194260630
-7.2,ZINC000194406312
-6.6,ZINC000194611013
-7.2,ZINC000194714203
-6.9,ZINC000195036078
-6.3,ZINC000195036100
-6.7,ZINC000195036141
-6.8,ZINC000195036160
-6.0,ZINC000195036179
-6.4,ZINC000239347291
-6.3,ZINC000245225993
-7.0,ZINC000245551651
-6.7,ZINC000245551656
-6.5,ZINC000245727603
-6.7,ZINC000246240315
-6.8,ZINC000246250745
-6.6,ZINC000246250756
-6.8,ZINC000246940424
-7.1,ZINC000247007126
-6.5,ZINC000247101976
-5.9,ZINC000247437771
-7.0,ZINC000247437779
-7.1,ZINC000247882302
-7.1,ZINC000247882306
-7.1,ZINC000247945368
-6.7,ZINC000248110591
-7.3,ZINC000248110594
-7.3,ZINC000248120970
-6.9,ZINC000248196881
-6.7,ZINC000248196883
-7.1,ZINC000248224002
-6.6,ZINC000248228332
-6.9,ZINC000248282409
-7.0,ZINC000248410873
-6.7,ZINC000269018809
-7.4,ZINC000284815065
-7.1,ZINC000284815068
-6.7,ZINC000284815072
-6.9,ZINC000284843599
-6.7,ZINC000287009006
-7.0,ZINC000288518383
-6.7,ZINC000289331211
-5.9,ZINC000291700412
-4.9,ZINC000292040396
-5.8,ZINC000294914512
-6.7,ZINC000302016143
-6.7,ZINC000302160187
-6.5,ZINC000302211686
-6.9,ZINC000330050578
-6.8,ZINC000337572955
-6.9,ZINC000338438656
-7.0,ZINC000338703345
-6.4,ZINC000339964047
-7.1,ZINC000340779269
-7.1,ZINC000348441435
-6.8,ZINC000349473531
-6.8,ZINC000352285684
-6.3,ZINC000356012051
-5.7,ZINC000358552125
-6.6,ZINC000359070107
-6.7,ZINC000360163913
-6.9,ZINC000361338265
-7.0,ZINC000361505131
-6.8,ZINC000362088428
-6.3,ZINC000362178794
-7.0,ZINC000362252920
-6.7,ZINC000368961030
-6.5,ZINC000371130621
-7.2,ZINC000375188650
-7.1,ZINC000375539417
-7.0,ZINC000376249205
-7.0,ZINC000376249206
-7.0,ZINC000376249207
-6.7,ZINC000410041628
-6.8,ZINC000414978260
-6.8,ZINC000417909254
-6.9,ZINC000419934926
-6.9,ZINC000426013305
-6.9,ZINC000426013306
-6.0,ZINC000426059990
-7.1,ZINC000426059991
-6.5,ZINC000426059993
-7.0,ZINC000426061271
-6.4,ZINC000426061272
-6.8,ZINC000426546862
-6.9,ZINC000427071813
-6.9,ZINC000430187950
-6.6,ZINC000430192302
-7.4,ZINC000430494623
-7.0,ZINC000430494624
-7.2,ZINC000431135562
-7.0,ZINC000431137797
-6.4,ZINC000434274980
-6.6,ZINC000434274981
-7.3,ZINC000434437368
-7.3,ZINC000435231528
-7.2,ZINC000435656175
-6.5,ZINC000435780974
-7.0,ZINC000435959154
-7.2,ZINC000435977341
-6.8,ZINC000435978323
-7.1,ZINC000436373885
-7.0,ZINC000437542808
-6.4,ZINC000437542810
-6.9,ZINC000437542813
-6.8,ZINC000437542815
-6.8,ZINC000437893547
-7.0,ZINC000439063354
-7.0,ZINC000439499961
