smile id
c1ccc2c(c1)C[C@H](OC2=O)C(=O)Nc3cccc(c3)c4[nH]c(=O)on4 ZINC000728967030
Cc1c(c2c(=O)[nH]cnc2o1)C(=O)N3CCc4cc(ccc4C3)C(=O)[O-] ZINC001600860091
CC1(Cc2cc(ccc2O1)C(=O)Nc3cccc(c3)c4n[n-]nn4)C ZINC001590112722
Cc1ccc(cc1C(=O)Nc2ccc3c(c2)C(=O)NC3)c4n[n-]nn4 ZINC001581135625
Cc1ccc2c(c1)[nH]cc2CC(=O)NC[C@H]3CCc4ccccc4C3 ZINC000735257111
Cc1cccc2c1CCN(C2)C(=O)N[C@@H]3CCc4c3cc(cc4)C(C)C ZINC001686211464
Cc1ccc(cc1C(=O)Nc2ccc3c(c2)CCNC3=O)c4n[n-]nn4 ZINC001581135635
C1CCC(C1)[NH+]2CCCN(CC2)C(=O)C(=O)N[C@@H]3CCC[C@H](C3)F ZINC001261474798
Cn1c2c(c(=O)[nH]1)CCN(C2)C(=O)Nc3ccc4c(c3)cc(o4)C(=O)[O-] ZINC001601015672
c1ccc(cc1)NC(=O)c2cccc(c2)c3ncc4c(n3)C[NH2+]C4 ZINC001240112486
CC1(CCC[C@H]1NC(=O)N[C@@H]2CCc3c2ccc(c3)c4n[n-]nn4)C ZINC001590094109
c1ccc2c(c1)c(cc(n2)N3CC[C@H]4COC[C@@H]4C3)c5n[n-]nn5 ZINC001593577858
CC(C)(C1CCN(CC1)C(=O)C(=O)Nc2ccc3c(c2)CC(=O)N3)O ZINC000874183940
c1ccc2cc(ccc2c1)Cc3nc(no3)c4ccc5c(c4)OCCC5=O ZINC001247393764
CC1(Cc2cc(ccc2O1)C(=O)N3CCC[C@H](CC3)c4ccccc4)C ZINC001143472859
c1ccc2cc(ccc2c1)[C@H]3C[C@H]3C(=O)N[C@H]4COc5ccccc5C4=O ZINC000245874727
c1ccc2c(c1)c(=O)cc(o2)c3nc(no3)c4ccc5c(c4)CCCC5=O ZINC001247593845
c1ccc2c(c1)C=C(CO2)/C=C/3\CCc4cc(ccc4C3=O)c5n[n-]nn5 ZINC000823498585
CCc1cccc2c1[nH]cc2CC(=O)N3CCc4c3ccc(c4)C(=O)[O-] ZINC000737269976
c1cc2c(cc1c3n[n-]nn3)C[C@@H](C2)[NH2+][C@@H]4CC[NH+]5CCC[C@@H]5C4 ZINC001593566282
Cc1ccc2c(c1)[C@@H](CC2)Nc3cc(c4ccccc4n3)c5n[n-]nn5 ZINC000737372153
c1ccc2cc(ccc2c1)c3nc(on3)CCN4Cc5ccccc5C4=O ZINC001247771996
Cc1ccc2c(c1)CC[C@H]2Nc3cc(c4ccccc4n3)c5n[n-]nn5 ZINC000737376681
Cc1ccc2c(c1)CC[C@@H]2Nc3cc(c4ccccc4n3)c5n[n-]nn5 ZINC000737376683
c1ccc(cc1)[C@@H]2CC(=NO2)c3nc(no3)c4ccc5c(c4)CCCC5=O ZINC001247773995
CC1(C[C@H](CO1)[NH2+][C@H]2CCCCc3c2ccc(c3)c4n[n-]nn4)C ZINC001590082622
Cc1ccc2c(c1)CN(CC2)C(=O)N[C@H]3CCc4ccccc4NC3=O ZINC000665249321
Cc1ccc2c(c1)CN(CC2)C(=O)N[C@@H]3CCc4ccccc4NC3=O ZINC000665249322
c1ccc(cc1)[C@H]2CC(=NO2)c3nc(no3)c4ccc5c(c4)CCCC5=O ZINC001247773998
c1cc2c(cc1c3n[n-]nn3)[nH]c(c2N=N[C@H]4C[C@H]5CC[C@H]4C5)O ZINC001593411891
CC1(CNC(=O)[C@H]1[NH2+][C@@H]2Cc3ccc(cc3C2)c4n[n-]nn4)C ZINC001590109758
c1ccc2c(c1)c(=O)n(cn2)NC(=O)[C@@]3(CCNC3=O)C4CCCC4 ZINC000875047655
Cc1nc2ccc(cn2n1)NC(=O)N3CCc4cc(ccc4C3)C(=O)[O-] ZINC001600728871
c1cc(cc(c1)NC(=O)N[C@@H]2CCc3cc(ccc3C2)O)c4ncco4 ZINC000683559199
CC1(Cc2ccc(cc2O1)C(=O)Oc3ccc(cc3)c4n[n-]nn4)C ZINC001590114484
C[NH+]1CC[C@H]2[C@H]1CCN(C2)C(=O)Nc3ccc4c(c3)C(=O)NCC4 ZINC000878748107
Cc1c(cnn1c2ccccc2)C(=O)/C=C\c3ccccc3c4n[n-]nn4 ZINC000826233995
Cc1cc(cc(c1)NC(=O)N2CCc3cc(ccc3C2)C(=O)[O-])C(=O)N ZINC001600264239
C[C@]12CCN(C[C@H]1C2(F)F)c3c4ccccc4[nH+]cc3c5n[n-]nn5 ZINC001590158045
C[C@]12CCN(C[C@H]1C2(F)F)c3c(cc4c(n3)CCCC4)c5n[n-]nn5 ZINC001590155686
c1cc2c(cc1NC(=O)N3CCc4c(cncn4)C3)NC(=O)CO2 ZINC000878057938
Cc1ccc(c(c1)O)C(=O)N[C@H]2CCc3cc(ccc3NC2=O)C(=O)[O-] ZINC001600336176
Cc1ccc(c(c1)O)C(=O)N[C@@H]2CCc3cc(ccc3NC2=O)C(=O)[O-] ZINC001600336177
c1ccc2cc(ccc2c1)CC(=O)N3CCc4c5ccccc5oc4C3 ZINC001142757483
c1ccc2c(c1)C[C@H]3C(=O)N[C@]4([NH+]3C2)c5cc(c(cc5NC4=O)F)F ZINC000877866268
